,t,x,x_std,y,y_std,z,z_std
0,0.0,763.8184802735937,381.9096984277017,2407.1350580733356,1203.568973317125,496.8711403096588,248.43586827739435
1,0.009997,766.7254838605177,3.1846226730551166,2357.3634574367356,-48.85352994874347,495.90905679604134,-0.7793997691436516
2,0.020036,770.2249922371367,3.3738781910562943,2275.901296319526,-68.45227105782138,499.90418495689687,2.09023116797482
3,0.029989,772.7828177279501,3.0207543225407574,2205.5985342418517,-69.25301903327595,497.0916720637848,-0.031293518699587075
4,0.040029,774.7447212604144,2.6575343987705122,2127.979258792228,-72.1229144390005,497.6935635842476,0.1859093429429313
5,0.050017,775.3637272384211,2.0645632305562343,2049.793257799261,-73.88655701580738,497.0943275123575,-0.04247530409436462
6,0.060001,776.4277474889171,1.8040586591840118,1981.1457385311815,-72.52250438631165,491.84424128294336,-1.398345545562705
7,0.069997,777.7903454123315,1.696526889158677,1918.378902511395,-70.14620180211072,484.1231031967325,-2.9384622950479695
8,0.08002999999999999,779.7783962287491,1.7652256242747146,1881.14949651469,-62.38923222103165,465.20522379384647,-6.704073418367494
9,0.10899400000000001,782.6319799529613,2.01889129422576,1762.734118047444,-75.44735153225761,447.9129064543525,-9.171895349414106
10,0.11901199999999999,784.7391305963447,2.039478445181161,1655.0819529301782,-82.95936431155795,431.332290120638,-10.900034733467017
11,0.129023,786.7303049280887,2.0281521248213763,1572.1100947819261,-82.96229385910266,412.0860518133327,-12.857047682024275
12,0.139095,789.0508405963561,2.0970858901517997,1498.9442539487989,-80.65263447812711,393.0689761518209,-14.309365819228688
13,0.14901,790.9738472418858,2.0558794166943963,1438.97866300323,-75.75578355206265,370.76295708771556,-16.202261669037355
14,0.159004,792.3038833773527,1.883667955646018,1379.3509039407493,-71.9292954753557,350.0060773583549,-17.282877073176852
15,0.169099,793.7887941662668,1.7889655309622086,1319.9394927020185,-68.95637338636786,330.1529994428892,-17.89328428838496
16,0.179091,794.7568542002674,1.593963558916953,1260.930462033616,-66.5934321540422,311.2516849045196,-18.13273680436376
17,0.189079,795.3898395597276,1.3657213000618786,1221.188584229833,-60.21591035163513,283.9744855442632,-20.304641214841144
18,0.19900299999999999,796.9420838003653,1.410011704742864,1159.7040060829231,-60.51715914111377,265.9911582160904,-19.75343860611774
19,0.209064,799.0768779857467,1.58207727694771,1096.0951855123417,-61.251128997085225,246.2340299417663,-19.754314544607055
20,0.21798299999999998,800.3459227030888,1.507772600763148,1030.550986983378,-62.27017679775474,228.51327973801338,-19.271606483701117
21,0.238012,801.118898690594,1.3333658573686318,965.6444025326193,-62.8959380828838,189.96190633936553,-23.84773176840052
22,0.25801,804.0531273998755,1.7133274589211756,875.3771231049911,-69.39247130030716,147.11498786996742,-28.357150797320678
23,0.26800999999999997,805.4263780198437,1.6326108658584986,796.8066436081233,-71.57085414757348,106.89894731310763,-31.171835801577135
24,0.27801,806.1648671231764,1.420390661791978,728.9234564080473,-70.69558473245888,67.91262965552662,-33.02660659864431
25,0.288012,807.305203316792,1.3539188913793307,663.389572506348,-69.47043951411867,,
26,0.29801,809.1142576773588,1.4619475368820751,609.6944644686379,-65.72608688259164,,
27,0.307989,810.4642262278205,1.4353686461733361,568.2000511765173,-59.974552379205456,,
28,0.318056,810.8345728788635,1.182578681539641,535.649199209395,-53.46535699263756,,
29,0.328018,811.6673377270992,1.0995480264495374,500.0315391936307,-49.22908663750947,,
30,0.338079,812.6489541480282,1.0715561769424151,467.9868411201861,-45.15025792628758,,
31,0.348026,813.4354583074872,1.0038972193561322,432.39062184948756,-42.88254446864197,,
32,0.358022,813.8607379073002,0.8665586064998422,399.9230162975954,-40.410491742458355,,
33,0.368016,814.8572748100917,0.8974097823167755,366.8782133082427,-38.66219864108549,,
34,0.397011,815.2927716716268,0.7877718271095183,314.91924602810377,-41.818270833183504,,
35,0.407014,815.6334747454518,0.6816572347736529,265.195691917331,-43.69463974990599,,
36,0.417013,816.187233820629,0.6512997988557789,223.22017111968987,-43.286596009532985,,
37,0.427066,817.2514254944449,0.7493022947537072,185.19698264550095,-42.03729296756468,,
38,0.43702700000000005,818.1081811187715,0.77480702214268,148.02512805973285,-40.88245039499082,,
39,0.447039,818.8719935030248,0.7721973752589243,114.07207532603613,-39.23771400668487,,
40,0.45703900000000003,820.2563602328028,0.9174996471594574,78.23399563057332,-38.43078928004675,,
41,0.46703999999999996,821.0893176259566,0.8974330078473233,41.04354585213502,-38.13638684547611,,
42,0.477037,821.6492564078155,0.8173266161832866,5.386084616928569,-37.547998154497186,,
43,0.487025,822.8946176908966,0.9189233547940653,-28.85613648440763,-36.76335103792197,,
44,0.49700900000000003,823.4567575863185,0.834238541543862,-59.706033592187396,-35.359755303357446,,
45,0.507033,824.0873064586274,0.7858915088190113,-91.89601241068031,-34.607388784133704,,
46,0.536013,825.8411758426283,1.0156471864507153,-145.34395664153791,-39.079313912387235,,
